HASH | first_seen | last_seen | filetype | avtype | yara | names | CC ip
cd4df2be265b8ef1c4e4c191432d6341 | 2026-05-31 20:53:48 | 2026-05-31 20:53:48 | ELF 32-bit MSB executable, shared object, MIPS, MIPS32 rel2 version 1 (SYSV) | Unix.Dropper.Mirai-7135890-0 | Backdoor_Linux_Mirai_E_xp | chernobyl.mips | -
b1ef9c2a944280c1a2ec04f2c1be3c70 | 2026-05-31 15:21:42 | 2026-05-31 15:21:42 | ELF32 LSB SO MIPS MIPS-I v1 (SYSV) | Unix.Dropper.Mirai-7135890-0 | Backdoor_Linux_Mirai_GC_MTB | mpsl | -
1a62914fbfce1aaea3e0df9a164c2f1f | 2026-05-28 08:51:00 | 2026-05-28 08:51:00 | ASCII text | OK | - | w.sh | -
315a79aafaab2547380c1d3cac678be7 | 2026-05-19 14:15:48 | 2026-05-19 14:15:48 | ELF32 LSB SO MIPS MIPS-I v1 (SYSV) | OK | UPX_Protector | wife.mpsl | -
79450efb960885c2f6910f96f75d9959 | 2026-05-14 23:57:29 | 2026-05-16 17:52:17 | HTML document | OK | - | rondo.kqa.sh; rondo; rondo.qpu.sh; rondo.naz.sh | -
65d77a33f57ca2fae69c3add65416313 | 2026-05-13 21:48:58 | 2026-05-13 21:48:58 | POSIX shell script | OK | - | load.sh | -
8821ba9facf40285a9d6c5d604a3fbae | 2026-05-12 20:26:45 | 2026-05-12 20:26:45 | POSIX shell script | OK | - | realtek.sh | -
244f09619822076ebe8a32c3f33f2ed5 | 2026-05-11 03:05:55 | 2026-05-11 03:05:55 | ELF32 LSB SO MIPS MIPS32 rel2 v1 (SYSV) | OK | - | pkf4m2 | -
b4362029cd2662755b375f512848259d | 2026-05-10 16:05:30 | 2026-05-10 16:05:30 | POSIX shell script | OK | - | bins.sh | -
7315d6b3184da18833691c46c63e8ede | 2026-05-09 23:50:47 | 2026-05-09 23:50:47 | ELF 32-bit LSB executable, shared object, MIPS, MIPS32 version 1 (SYSV) | OK | - | mipsle | -
050871547d2dda42636922a95bbc9216 | 2026-05-08 23:22:55 | 2026-05-08 23:22:55 | POSIX shell script | OK | - | kaf.sh | -
4c3d8daae0ce3c5f7ae081b3aa36bdd0 | 2026-05-08 06:39:22 | 2026-05-08 06:39:22 | ELF32 MSB SO MIPS MIPS-I v1 (SYSV) | OK | UPX_Protector | boatnet.mips | -
7bdcdfdba754f2270e8c67d432f28c53 | 2026-05-07 17:29:47 | 2026-05-07 17:29:47 | ELF32 LSB SO MIPS MIPS-I v1 (SYSV) | OK | UPX_Protector | boatnet.mpsl | -
a27302b04b1eab1a905f268218d389b2 | 2026-05-03 15:40:01 | 2026-05-03 15:40:01 | ELF32 LSB SO MIPS MIPS-I v1 (SYSV) | OK | - | manji.mpsl | -
df1b7bbc7aa719cdcf9aa5106a32cd22 | 2026-05-01 20:47:41 | 2026-05-01 20:47:41 | ELF32 LSB SO MIPS MIPS-I v1 (SYSV) | OK | - | iran.mipsel | -
2e6c324031824e1a88125dc50d15ada7 | 2026-04-26 09:38:54 | 2026-04-26 09:38:54 | ELF32 LSB SO MIPS MIPS-I v1 (SYSV) | OK | - | nova.mipsel | -
da8f55004e542890460736e660b9c424 | 2026-04-24 23:02:21 | 2026-04-24 23:02:21 | ELF32 LSB SO MIPS MIPS-I v1 (SYSV) | Unix.Dropper.Mirai-7355719-0 | Trojan_Linux_Mirai_X_MTB | bin.mipsel | -
55c0419e1745de8fac66cb2c3fc7bebd | 2026-04-24 21:30:48 | 2026-04-24 21:30:48 | Bourne-Again shell script text executable | OK | - | bins.sh | -
ccde098c49a1fee6028d365521385964 | 2026-04-24 16:57:28 | 2026-04-24 16:57:28 | Bourne-Again shell script text executable | OK | - | upd.sh | -
ee6974102a0286ff4d05432dbcac6040 | 2026-04-24 16:57:28 | 2026-04-24 16:57:28 | ELF32 LSB SO MIPS MIPS-I v1 (SYSV) | Unix.Trojan.Mirai-7100807-0 | Backdoor_Linux_Mirai_AM_xp, Backdoor_Linux_Mirai_BJ_MTB, Backdoor_Linux_Mirai_GC_MTB | miniiupnpd | -
84198c4f55d979362e6f218ab67a8e61 | 2026-04-24 16:57:28 | 2026-04-24 16:57:28 | ELF32 MSB SO MIPS MIPS-I v1 (SYSV) | Unix.Trojan.Mirai-7100807-0 | Backdoor_Linux_Mirai_AM_xp, Backdoor_Linux_Mirai_BJ_MTB, Backdoor_Linux_Mirai_GL_MTB | upnnpd | -
2c8ddb20ac9cb8fbbcbec3ef81b3efd8 | 2026-04-24 10:55:04 | 2026-04-24 10:55:04 | POSIX shell script | OK | - | bins.sh | -
d3f9f282a5a5e5e941875dca19a31b15 | 2026-04-18 01:44:16 | 2026-04-18 01:44:16 | Bourne-Again shell script text executable | OK | - | x.sh | -
640995548918da036e53d491ba236e6d | 2026-04-18 01:44:16 | 2026-04-18 01:44:16 | ELF32 LSB SO Synopsys ARCompact ARC700 cores v1 (SYSV) | Unix.Trojan.Tsunami-6981155-0 | - | arc | -
318bf65afc7d06fbe762feac8bdfcaf3 | 2026-04-18 01:44:16 | 2026-04-18 01:44:16 | ELF32 LSB SO ARM v1 (ARM) | Unix.Trojan.Tsunami-6981155-0 | Backdoor_Linux_Mirai_E_xp | arm | -
798f8340dab65410f3caf397bdffd7eb | 2026-04-18 01:44:16 | 2026-04-18 01:44:16 | ELF32 LSB SO ARM EABI4 v1 (SYSV) | Unix.Trojan.Tsunami-6981155-0 | Backdoor_Linux_Mirai_DA_MTB, Backdoor_Linux_Mirai_E_xp | arm6 | -
